@relation train_10K-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10

@attribute lucene numeric
@attribute inlink numeric
@attribute outlink numeric
@attribute valid {0,1}

@data
12.330713,146,69,1
12.516845,180,108,1
7.843591,252,165,0
5.527863,30,131,0
11.388379,79,31,1
6.625369,796,64,1
8.709172,3816,413,1
5.310744,17,19,0
6.12672,34,30,0
4.992838,260,279,0
13.410663,898,134,1
10.392951,7776,258,1
5.004733,2,4,0
15.607887,410,102,1
4.748793,3,43,0
9.899117,0,0,1
11.621153,391,85,1
15.607887,1690,646,1
5.859036,414,52,1
8.631072,47,99,0
5.641877,0,7,0
6.762747,3,214,0
15.202422,1434,102,1
15.607887,1182,347,1
15.607887,640,881,1
15.607887,1045,367,1
15.607887,519,141,1
7.212409,64737,1047,1
6.578012,16,28,1
7.318864,73,16,0
6.864321,5631,376,1
4.458109,20,34,0
15.607887,688,134,1
15.607887,656,527,1
14.91474,248,139,1
7.068034,6,25,0
10.40388,1807,478,1
9.672329,1995,224,1
15.607887,683,28,1
7.850622,0,354,1
15.202422,0,0,1
6.040763,3,12,0
7.532459,5,17,0
9.253517,1020,258,1
5.556057,20409,699,1
15.202422,19464,252,1
6.404121,8,120,0
6.024771,3,14,0
3.325897,0,0,0
7.616675,9,18,0
10.486903,178,134,0
11.736686,233,137,1
2.841884,0,0,0
15.607887,2598,469,1
12.704947,196,12,1
17.29676,142,166,1
6.9894,22,40,0
5.196619,3,19,0
5.795753,3,10,0
6.137841,3,16,0
11.716066,0,0,1
15.607887,0,0,1
5.173631,7,10,0
6.026269,4,13,0
6.602788,131,47,0
6.61913,13,9,0
7.055439,499,113,1
5.051742,8,16,0
4.433527,1,8,0
7.301662,2,10,0
15.202422,12,27,1
11.05401,4008,528,1
5.321436,0,0,0
5.78772,1,17,0
13.272853,970,56,1
7.332062,2,11,0
15.607887,0,0,1
5.514017,7,46,0
12.472393,0,0,1
5.39442,337,355,0
5.264797,0,4,0
6.889325,6,20,0
15.607887,7595,46,1
8.417388,180,187,0
5.051742,7,8,0
11.183041,0,0,1
10.371445,0,83,1
8.380951,4,12,0
3.325897,61,25,0
6.534123,0,0,0
10.445962,572,452,1
15.607887,2767,92,1
9.289821,862,119,1
15.607887,979,37,1
15.607887,214,36,1
11.497013,125,15,1
15.607887,0,0,1
5.075972,5,2,0
10.422071,42,78,1
5.623579,3,11,0
6.732254,0,0,0
12.385027,1182,347,1
5.28002,636,133,1
5.889623,0,0,0
5.797741,32,76,0
10.265553,238,73,1
15.607887,3098,216,1
15.607887,0,0,1
5.723444,9,32,0
6.26173,2,39,0
5.991773,0,5,0
5.325196,53,80,0
14.509275,191,190,1
15.607887,2761,302,1
8.332715,7595,46,1
10.096477,335,211,1
4.663557,7,85,0
5.385732,23,30,0
6.151685,2,11,0
15.607887,6254,129,1
15.607887,58,24,1
3.325897,2,10,0
5.036262,19,64,0
15.607887,334,62,1
10.302097,0,0,1
3.325897,9,17,0
5.859036,414,52,1
8.93928,27,41,1
6.122031,0,3,0
15.607887,1426,273,1
12.11138,884,49,1
5.534031,6,13,0
15.607887,389,22,1
9.941461,13,79,0
11.352273,1086,266,1
15.607887,13645,136,1
13.876057,242,244,1
11.183041,0,0,1
15.607887,684,377,1
7.09962,0,0,0
7.498106,1,12,0
9.32847,0,7,0
6.151685,2,11,0
15.607887,196,12,1
15.607887,401,145,1
15.607887,16506,868,1
7.850622,14,44,0
4.110705,0,10,0
3.325897,42,66,0
3.325897,7,13,0
15.963495,206,173,1
6.985669,22,23,0
3.055874,8,35,0
15.202422,907,135,1
15.607887,1033,57,1
12.587461,0,0,1
12.419155,12,17,1
5.326893,0,13,0
7.090755,104,27,1
2.94351,8,19,0
15.607887,2723,316,1
10.620861,0,0,1
3.762823,17,104,0
6.657538,61,86,0
7.132975,0,0,1
15.607887,293,15,1
7.672301,191,40,0
6.182816,36,34,0
4.136566,4,7,0
9.513189,1,9,0
15.607887,149,247,1
15.607887,3,7,0
3.325897,2,13,0
5.625589,2,12,0
13.467821,962,143,1
15.607887,70953,1348,1
12.126647,169,26,1
15.202422,1058,223,1
5.600935,7,8,0
6.404121,0,0,0
5.370611,6,27,0
7.608687,6,55,0
5.867061,1,3,0
15.607887,1866,381,1
7.75576,4,8,0
15.607887,577,135,1
7.598687,77,25,0
7.902174,19464,252,1
6.849188,7362,890,1
8.332715,0,0,1
6.449918,2,331,0
3.741269,9,26,0
15.202422,1118,78,1
5.558675,28,42,0
3.325897,9,7,0
12.440157,95,136,1
16.841297,704,338,1
15.607887,1335,100,1
6.637821,14,20,0
11.338189,6625,626,1
6.404121,17,29,0
10.610675,683,28,1
15.607887,214,36,1
4.398597,1,17,0
6.41375,18,40,0
5.935109,2,37,0
5.963612,0,40,0
6.710321,38,123,0
8.518227,40,50,0
15.607887,0,0,1
7.217152,133,183,0
9.181398,481,113,1
2.797644,4,29,0
11.23213,1172,473,1
9.641739,14494,1193,1
6.049768,452,305,0
15.607887,2690,351,1
14.12444,10,8,1
7.044123,18,29,0
6.378402,209,118,0
4.879899,105,135,0
15.607887,2604,339,1
12.867093,984,29,1
3.325897,2,13,0
14.221593,0,0,0
8.888495,53,36,1
15.607887,945,304,1
5.326081,3,190,0
15.607887,181,116,1
5.075972,2,1,0
5.98515,15,73,0
8.596221,3710,165,1
9.897459,191,56,1
5.741923,23,9,0
8.645643,3707,621,1
5.051742,179,7,0
6.120296,236,90,0
10.614059,943,465,0
6.331724,3,12,0
11.108077,0,0,1
4.171837,16,27,0
3.325897,18,45,0
10.448832,963,77,1
15.607887,929,167,1
10.272755,539,457,1
5.032557,3,5,0
7.730755,45,64,0
11.957229,0,0,1
6.861265,14,34,0
9.174947,444,41,1
7.930352,41,63,0
5.39442,337,355,0
14.91474,204,151,1
13.661977,225,138,1
7.608687,95,121,0
6.882978,1,19,0
8.673003,2814,279,1
6.460909,321,119,0
15.607887,75,123,1
9.976675,7157,399,1
5.505519,9,76,0
5.209131,52,57,0
7.695031,28,29,1
5.672604,1,8,0
7.19561,280,38,1
9.515447,133,181,1
7.316196,4,47,0
15.607887,2814,279,1
15.607887,0,0,1
15.607887,4958,422,1
6.796492,2,14,0
11.0868,2000,41,1
4.589487,26,55,0
15.607887,1030,463,1
15.607887,2122,113,1
15.607887,237,197,1
7.334593,3,4,0
11.944325,1306,217,1
15.607887,154,59,1
12.369207,0,0,1
15.607887,10113,47,1
6.832933,5,82,0
7.16394,15,91,0
10.600591,0,0,1
5.325196,66,49,0
9.919218,4690,117,1
7.069126,182,81,0
13.592984,1381,915,1
13.640902,343,191,1
4.690239,64,116,0
6.546896,94,74,0
5.624508,5,8,0
10.304583,0,0,1
9.976675,0,0,1
11.189047,432,35,1
10.395673,0,0,1
10.610675,683,28,1
9.408978,8,19,0
6.426525,6,11,0
6.727312,3,20,0
7.622968,62,65,0
8.432491,0,3,0
5.326081,2,9,0
6.280706,10,17,0
6.625369,796,64,1
3.325897,6,17,0
15.607887,236,32,1
15.607887,0,0,1
15.202422,3707,621,1
5.12565,1,10,0
11.108077,0,0,1
11.666306,226,224,1
10.04913,0,0,1
12.382889,44,8,1
3.325897,20,36,0
7.004552,5,61,0
7.027993,22,275,0
5.321436,24,52,0
6.1369,50,75,0
5.979771,385,225,1
6.076984,103,100,0
4.790503,6,12,0
5.231993,0,4,0
7.254637,1,1,0
5.31158,3,4,0
9.748527,0,0,1
15.607887,13645,136,1
10.448832,963,77,1
4.157907,1,2,0
11.768435,356,152,1
7.669798,1335,100,1
12.389011,0,0,1
11.177071,2977,465,1
8.714541,277,245,1
15.607887,658,275,1
6.633787,42,31,0
6.935642,355,180,1
3.326325,2,8,0
4.477383,694,261,0
10.987828,619,32,1
15.607887,318,248,1
3.665883,16,40,0
8.332715,7595,46,1
7.309915,1,5,0
7.968613,187,262,0
6.500711,1,10,0
11.647074,2405,239,1
6.139078,0,5,0
7.027993,6,20,0
15.607887,1381,246,1
7.108613,14,3,0
6.033464,55,27,0
15.607887,0,0,1
10.702612,24,40,0
15.607887,214,36,1
15.607887,318,248,1
6.9894,12,90,0
7.909177,0,0,0
12.275682,0,0,1
15.607887,4425,149,1
6.412987,62,81,0
5.744472,43,62,0
4.488863,45,66,0
6.412987,63,78,0
9.214296,71,96,0
15.607887,1426,273,1
15.607887,99671,1058,1
9.905772,1868,65,1
4.951891,6,13,0
3.325897,137,25,0
15.202422,1345,460,1
5.135174,12,100,0
13.807296,368,93,1
15.607887,4514,110,1
15.607887,5281,403,1
15.607887,1634,228,1
7.056499,9,19,0
4.590221,1,20,0
5.848695,0,0,0
15.607887,22656,95,1
9.680961,2468,75,1
4.933116,0,0,0
9.462411,1,7,0
10.072523,21,26,0
7.426167,2,12,0
6.295327,44,29,0
4.793624,12,3,0
15.202422,67,9,1
3.325897,126,197,0
5.202775,23,57,0
6.973624,4,23,0
6.220585,9,10,0
6.449918,6,9,0
15.607887,0,0,1
6.575182,8,6,0
5.067359,1,86,0
6.858224,11,16,0
12.745687,58,24,1
12.218215,1126,201,1
4.237634,180,208,1
5.305337,3,12,0
9.703889,12520,406,1
7.867164,3,7,0
13.005197,85,26,1
6.625369,0,3,0
4.670476,129,35,0
5.699176,11,29,0
5.133226,4,10,0
7.75576,487,380,1
15.607887,2424,305,1
15.607887,235,46,1
7.046985,41,66,1
10.45171,28,42,0
4.828128,187,93,0
9.941461,684,63,1
7.861154,2751,300,1
5.325196,0,78,0
8.121554,4492,387,1
5.760955,58,125,0
12.933739,276,72,1
10.669823,3542,474,1
4.088174,1,10,0
8.735241,2328,301,1
15.607887,6227,583,1
6.571336,311,169,1
7.669798,1335,100,1
11.846687,64,97,1
5.52438,18,91,0
4.976029,14,22,0
6.014969,27,25,0
10.737319,639,167,1
15.607887,14494,1193,1
7.906872,84,51,1
4.010297,1,13,0
13.042937,1058,223,1
7.579155,41,48,0
7.16547,24,19,0
15.607887,434,102,1
4.603381,19,166,0
5.145983,0,0,0
15.607887,3883,195,1
6.320993,4,12,0
15.607887,2666,130,1
8.264685,124,115,1
13.592984,1,5,0
15.607887,282,203,1
15.607887,1388,650,1
15.607887,400,205,1
6.151685,0,0,0
12.49437,545,215,1
15.607887,389,22,1
15.607887,358,79,1
13.998448,1339,286,1
5.443233,3,6,0
15.607887,186,17,1
5.325196,2,12,0
10.302097,526,454,1
15.607887,0,0,1
7.310933,15,29,0
6.918703,2,15,0
5.20194,1,7,0
15.607887,49,33,1
15.849413,99,14,1
6.659741,182,121,0
5.806138,5,8,0
6.119235,0,0,0
5.420627,60,62,0
15.607887,481,113,1
5.067271,163,224,0
15.607887,471,232,1
11.086099,44,111,1
10.889388,0,0,1
7.931322,109,93,0
8.891816,237,262,0
14.102375,1634,228,1
6.739739,264,124,0
5.621564,16,21,0
5.703536,14494,1193,1
4.219818,5,10,0
15.607887,863,352,1
8.176349,1,7,0
14.910391,32,60,1
3.875253,0,8,0
15.607887,645,295,1
15.607887,334,62,1
8.673003,2814,279,1
7.911706,39,66,0
10.305476,54,71,0
15.202422,642,230,1
3.026733,66,85,0
6.819977,132,10,1
6.272333,22,9,0
10.096477,335,211,1
6.32953,18,30,0
8.598477,8,21,0
6.678298,19,23,0
15.607887,1141,588,1
6.855197,0,5,0
13.140308,272,24,1
11.480753,3,23,0
14.103809,504,26,1
6.65265,0,1,0
9.703889,12520,406,1
9.437231,0,0,1
15.607887,135,40,1
15.607887,1367,679,1
6.182816,327,240,1
15.607887,3385,390,1
6.349258,6,8,0
9.842696,100,97,0
15.607887,808,14,1
9.223474,307,188,1
9.889632,26790,769,1
5.724502,1,8,0
15.607887,0,0,1
9.760004,0,13,0
6.36296,110,98,0
8.674952,714,663,0
7.436613,0,30,0
15.202422,6024,497,1
5.205404,1,6,0
7.588844,0,18,0
5.19322,4,11,0
10.395673,4,11,0
10.096477,0,9,0
14.103809,552,14,1
15.607887,245,18,1
3.694493,6,19,0
15.607887,102318,1198,1
6.477186,43,35,0
6.786285,1,5,0
11.716066,0,0,1
15.607887,362,216,1
6.084856,16,9,0
12.745687,383,84,1
5.494247,2,30,0
9.639179,31,43,1
11.177071,241,39,1
3.325897,2,13,0
7.984171,5,5,0
7.085487,7,236,0
3.325897,46,50,0
10.634607,293,15,1
15.607887,3883,195,1
11.716066,2827,258,1
15.607887,362,216,1
15.202422,60,121,1
15.607887,0,0,1
13.256512,0,0,1
6.861265,8,17,0
6.539565,4,8,0
11.771508,391,85,1
10.978025,14,26,0
12.423425,629,24,1
6.407063,23,60,0
6.65265,4,25,0
10.911963,13,19,0
4.009716,0,8,0
15.607887,96,50,1
9.632505,4,16,0
10.600591,0,0,1
6.625369,5,6,0
7.924713,7,26,0
8.270225,38,54,0
3.325897,5,12,0
14.103809,9700,42,1
1.805103,102,68,0
10.526483,2726,203,1
13.816128,358,79,1
15.607887,946,33,1
7.132975,0,0,1
15.607887,147,172,1
4.729348,18,16,0
7.141148,489,520,0
3.325897,14,16,0
15.607887,1827,623,1
12.555324,2268,486,1
15.607887,1090,227,1
6.349373,58,56,0
14.103809,195,109,1
10.973158,607,137,1
9.44037,0,0,1
6.623282,0,0,0
11.141979,0,0,1
12.275682,0,0,1
10.340272,4,22,0
15.607887,311,169,1
5.004733,0,0,0
15.607887,0,0,1
10.04913,0,0,1
7.228022,8,48,0
3.325897,386,376,0
3.325897,36,60,0
6.06835,19,57,0
4.671246,36,21,0
6.535931,262,117,0
10.954523,153,178,1
6.128992,7,12,0
15.607887,8300,409,1
3.325897,6,17,0
5.325196,21,30,0
7.126997,2932,161,1
15.607887,9352,831,1
13.998448,292,124,1
3.325897,36,60,0
6.571336,35,32,0
15.607887,474160,1635,1
11.944325,193,59,1
14.644564,300,248,1
11.324301,0,0,1
6.174895,34,17,0
15.607887,2814,279,1
15.202422,12,27,1
8.019816,0,7,0
15.607887,1426,273,1
15.607887,4563,432,1
6.877363,1,6,0
5.744425,10,10,0
6.232071,81,9,0
11.166669,362,216,1
6.546896,94,74,0
15.607887,23,19,1
6.345354,183,82,0
6.268878,21,30,0
10.317097,561,349,0
3.325897,9,7,0
5.802205,29,14,0
14.691596,2,27,1
15.607887,760,272,1
6.079597,0,0,0
3.325897,70,75,0
7.117737,5,5,0
5.420627,1,2,0
9.316318,861,704,1
5.561614,5,7,0
6.985488,109,23,0
6.686822,9,24,0
5.965793,6,18,0
6.460909,6,22,0
5.783448,17,5,0
6.015757,3,3,0
5.528382,1,10,0
6.071075,4,14,0
15.607887,1933,233,1
12.024368,0,0,1
12.867047,0,0,1
6.236197,2,6,0
13.305301,499,82,1
6.331724,2,16,0
5.485633,513,69,0
13.042937,486,92,1
7.41149,407,207,1
15.607887,4935,336,1
3.300826,0,0,0
6.429575,0,0,0
15.607887,2767,92,1
6.09551,5,9,0
14.91474,0,0,0
6.612402,1172,473,1
5.146111,3,23,0
6.204608,10,28,0
8.673003,2814,279,1
11.805001,1290,809,1
5.378013,0,0,0
5.0717,5,34,0
15.607887,4020,387,1
9.51572,4053,567,1
5.780195,5,11,0
7.06068,33,34,0
6.868043,1,5,0
15.607887,1414,169,1
6.043145,160,172,0
11.484271,1413,442,1
9.824061,2723,316,1
5.385803,1,36,0
5.587866,37,44,0
8.673003,2814,279,1
6.868043,129,132,1
15.607887,2649,583,1
13.816128,1242,503,1
6.58154,108,11,0
3.302498,46,46,0
5.978614,0,0,0
4.955281,3,12,0
7.073392,39,20,0
6.437262,376,280,0
6.346691,82,78,0
6.625369,796,64,1
7.155628,77,38,1
15.607887,3909,497,1
10.978025,0,0,1
3.325897,4,15,0
5.337401,2996,83,0
15.607887,438,34,1
6.861265,69,74,0
8.019816,0,0,1
11.433498,94,4,0
11.207284,0,0,0
15.607887,749,150,1
8.311812,6254,129,1
3.084135,0,0,0
4.120436,110,120,0
9.51572,4053,567,1
15.607887,1723,237,1
7.048221,34,43,0
7.27185,961,114,1
5.760955,242,91,0
15.607887,2424,305,1
6.470625,3,9,0
6.199512,60,59,0
9.242276,118,64,0
5.075972,8,23,0
5.922234,3,131,0
3.325897,2,12,0
6.443772,1,10,0
8.673003,2814,279,1
4.590221,116,211,1
6.040763,5,17,0
9.73859,25,39,0
5.868343,45,65,0
9.214296,494,35,1
11.23213,49,101,1
5.385732,8,38,0
6.127662,29,33,0
13.015266,8610,45,1
7.375181,75,81,0
6.889325,7,13,0
6.170417,4,14,0
6.144865,3,42,0
6.675396,11268,791,1
15.202422,13704,539,1
9.919218,9584,955,0
9.068301,12622,926,1
15.607887,0,0,1
15.607887,93,20,1
7.465203,8,7,0
3.932115,76,93,0
10.454596,1316,337,1
13.816128,1242,503,1
6.402263,1,18,0
5.965793,5,9,0
5.39442,337,355,0
5.935109,3,13,0
2.659114,25,114,0
6.870479,4,7,0
13.410663,933,521,1
10.973158,0,0,1
3.325897,70,75,0
6.789347,9,20,0
15.607887,4147,42,1
14.91474,820,247,1
4.730759,24,69,0
13.490445,52,27,0
6.537746,25,14,0
7.108613,3,25,0
15.607887,3581,452,1
5.179186,0,0,0
7.75576,202,245,0
10.375467,62,84,1
3.325897,2,12,0
15.607887,499,91,1
12.829193,761,534,1
9.684969,20,28,0
